    µm         	nN
-1.711875e+000	-4.493402e+000
-1.713750e+000	-4.487474e+000
-1.715625e+000	-4.517114e+000
-1.717500e+000	-4.487474e+000
-1.719375e+000	-4.552682e+000
-1.721250e+000	-4.493402e+000
-1.723500e+000	-4.588250e+000
-1.725375e+000	-4.528970e+000
-1.727250e+000	-4.528970e+000
-1.729125e+000	-4.499330e+000
-1.731000e+000	-4.570466e+000
-1.732875e+000	-4.546754e+000
-1.734750e+000	-4.534898e+000
-1.737000e+000	-4.517114e+000
-1.738875e+000	-4.493402e+000
-1.740375e+000	-4.523042e+000
-1.742625e+000	-4.499330e+000
-1.744500e+000	-4.528970e+000
-1.746375e+000	-4.558610e+000
-1.748250e+000	-4.564538e+000
-1.750125e+000	-4.505258e+000
-1.752375e+000	-4.534898e+000
-1.754250e+000	-4.558610e+000
-1.756125e+000	-4.523042e+000
-1.757625e+000	-4.576394e+000
-1.759875e+000	-4.505258e+000
-1.761750e+000	-4.540826e+000
-1.763625e+000	-4.582322e+000
-1.765875e+000	-4.558610e+000
-1.768125e+000	-4.534898e+000
-1.769625e+000	-4.552682e+000
-1.771125e+000	-4.493402e+000
-1.773000e+000	-4.523042e+000
-1.774875e+000	-4.576394e+000
-1.777125e+000	-4.540826e+000
-1.779000e+000	-4.576394e+000
-1.780875e+000	-4.558610e+000
-1.782750e+000	-4.546754e+000
-1.785000e+000	-4.540826e+000
-1.786500e+000	-4.505258e+000
-1.788375e+000	-4.558610e+000
-1.790625e+000	-4.540826e+000
-1.792500e+000	-4.558610e+000
-1.794375e+000	-4.582322e+000
-1.796625e+000	-4.534898e+000
-1.798500e+000	-4.534898e+000
-1.800375e+000	-4.528970e+000
-1.802250e+000	-4.499330e+000
-1.804125e+000	-4.493402e+000
-1.806000e+000	-4.517114e+000
-1.807875e+000	-4.558610e+000
-1.809750e+000	-4.570466e+000
-1.811625e+000	-4.481546e+000
-1.813500e+000	-4.588250e+000
-1.815375e+000	-4.540826e+000
-1.817625e+000	-4.546754e+000
-1.819500e+000	-4.558610e+000
-1.821375e+000	-4.528970e+000
-1.822875e+000	-4.534898e+000
-1.824750e+000	-4.499330e+000
-1.826625e+000	-4.511186e+000
-1.828875e+000	-4.546754e+000
-1.830750e+000	-4.534898e+000
-1.832625e+000	-4.546754e+000
-1.834500e+000	-4.552682e+000
-1.836375e+000	-4.534898e+000
-1.838625e+000	-4.546754e+000
-1.840500e+000	-4.558610e+000
-1.842375e+000	-4.564538e+000
