    nm         	nN
3.793668e+002	8.246491e-002
3.789476e+002	6.952924e-002
3.786597e+002	6.629532e-002
3.784812e+002	7.114619e-002
3.781277e+002	6.306140e-002
3.778617e+002	6.144444e-002
3.779457e+002	8.569882e-002
3.774828e+002	6.952924e-002
3.771511e+002	6.306140e-002
3.769507e+002	6.629532e-002
3.766409e+002	6.144444e-002
3.764405e+002	6.467836e-002
3.762839e+002	7.114619e-002
3.758429e+002	5.659356e-002
3.758175e+002	7.276316e-002
3.753546e+002	5.659356e-002
3.752636e+002	6.791228e-002
3.748444e+002	5.497661e-002
3.745346e+002	5.012573e-002
3.744218e+002	5.982748e-002
3.741995e+002	6.144444e-002
3.739773e+002	6.306140e-002
3.737987e+002	6.791228e-002
3.735765e+002	6.952924e-002
3.735074e+002	8.246491e-002
3.732413e+002	8.084795e-002
3.731066e+002	8.893274e-002
3.725999e+002	6.952924e-002
3.722683e+002	6.306140e-002
3.720460e+002	6.467836e-002
3.717800e+002	6.306140e-002
3.713827e+002	5.174269e-002
3.711823e+002	5.497661e-002
3.712007e+002	7.438011e-002
3.708909e+002	6.952924e-002
3.704280e+002	5.335965e-002
3.703807e+002	6.791228e-002
3.700710e+002	6.306140e-002
3.697174e+002	5.497661e-002
3.696045e+002	6.467836e-002
3.693823e+002	6.629532e-002
3.688756e+002	4.689181e-002
3.689597e+002	7.114619e-002
3.689124e+002	8.569882e-002
3.684495e+002	6.952924e-002
3.681178e+002	6.306140e-002
3.679612e+002	6.952924e-002
3.673889e+002	4.527485e-002
3.671885e+002	4.850877e-002
3.670975e+002	5.982748e-002
3.668315e+002	5.821052e-002
3.662810e+002	3.557310e-002
3.662994e+002	5.497661e-002
3.659896e+002	5.012573e-002
3.658112e+002	5.497661e-002
3.655670e+002	5.497661e-002
3.651260e+002	4.042397e-002
3.648818e+002	4.042397e-002
3.648565e+002	5.659356e-002
3.644154e+002	4.204093e-002
3.640837e+002	3.557310e-002
3.641678e+002	5.982748e-002
3.640112e+002	6.629532e-002
3.634170e+002	4.042397e-002
3.632822e+002	4.850877e-002
3.631475e+002	5.659356e-002
3.626627e+002	3.880702e-002
3.625717e+002	5.012573e-002
3.623932e+002	5.497661e-002
3.619959e+002	4.365789e-002
3.616423e+002	3.557310e-002
3.616607e+002	5.497661e-002
3.609134e+002	1.778655e-002
3.607568e+002	2.425438e-002
3.606439e+002	3.395614e-002
3.602903e+002	2.587134e-002
3.601556e+002	3.395614e-002
3.600646e+002	4.527485e-002
3.597548e+002	4.042397e-002
3.595544e+002	4.365789e-002
3.592228e+002	3.719006e-002
3.589568e+002	3.557310e-002
3.587345e+002	3.719006e-002
3.583591e+002	2.748830e-002
3.579618e+002	1.616959e-002
3.576739e+002	1.293567e-002
3.576704e+002	3.072222e-002
3.574700e+002	3.395614e-002
3.571165e+002	2.587134e-002
3.567848e+002	1.940351e-002
3.565626e+002	2.102047e-002
